libelle_fr,libelle_ar,year,value,city,base_year
Forfaits touristiques,الواجبات السياحية الجزافية,2016,112.3,agadir,2006
Dépenses d'utilisation des véhicules,نفقات استعمال العربات,2021,104.7,dakhla,2017
"Electricité, gaz et autres combustibles",الكهرباء والغاز ومحروقات أخرى,2017,112.0,oujda,2006
Forfaits touristiques,الواجبات السياحية الجزافية,2018,180.7,beni_mellal,2006
Articles de ménage en textiles,مواد منزلية من النسيج,2018,96.5,al_hoceima,2006
"Logement, eau, électricité, gaz et autres combustibles",السكن والماء والكهرباء والغاز ومحروقات أخرى,2017,110.7,tanger,2006
Autres services,خدمات أخرى,2018,122.1,tanger,2006
Soins corporels,العناية بالجسد,2016,121.6,dakhla,2006
Services de téléphonie et de télécopie,خدمات الهاتف والفاكس,2016,58.7,beni_mellal,2006
Chaussures,الأحذية,2018,118.9,tanger,2006
Chaussures,الأحذية,2019,112.3,marrakech,2017
Outillage et autre matériel pour la maison et le jardin,الأدوات والمعدات الأخرى للمنزل والحديقة,2020,107.1,casablanca,2017
Services financiers,الخدمات المالية,2020,100.0,agadir,2017
Restaurants et hôtels,مطاعم وفنادق,2019,104.7,fes,2017
Restaurants et hôtels,مطاعم وفنادق,2016,139.1,tetouan,2006
Effets personnels non classés ailleurs,أدوات شخصية غير مصنفة في مكان آخر,2021,107.1,dakhla,2017
Boissons alcoolisées et tabac,المشروبات الكحولية و التبغ,2018,108.1,agadir,2017
"Meubles, articles de ménage et entretien courant du foyer",الأثاث والأدوات المنزلية والصيانة العادية للمنزل,2019,101.2,marrakech,2017
Enseignement préélémentaire et primaire,التعليم ما قبل الإبتدائي والإبتدائي,2020,115.3,casablanca,2017
Dépenses d'utilisation des véhicules,نفقات استعمال العربات,2018,132.5,dakhla,2006
Produits alimentaires,المواد الغذائية,2017,122.1,oujda,2006
Loisirs et culture,الترفيه والثقافة,2016,101.8,kenitra,2006
Assurance,التأمين,2017,100.9,al_hoceima,2006
Soins corporels,العناية بالجسد,2017,121.0,dakhla,2006
Assurance,التأمين,2017,101.1,tetouan,2006
Boissons alcoolisées et tabac,المشروبات الكحولية و التبغ,2018,108.4,guelmim,2017
Chaussures,الأحذية,2018,105.2,fes,2017
Forfaits touristiques,الواجبات السياحية الجزافية,2016,124.1,kenitra,2006
Effets personnels non classés ailleurs,أدوات شخصية غير مصنفة في مكان آخر,2018,99.7,beni_mellal,2017
Restaurants et hôtels,مطاعم وفنادق,2018,117.7,marrakech,2006
"Autres articles et matériel de loisirs, de jardinageet animaux de compagnie",مواد ومعدات أخرى للترفيه والبستنةوالحيوانات الأليفة,2018,115.1,fes,2006
Dépenses d'utilisation des véhicules,نفقات استعمال العربات,2018,103.3,fes,2017
"Meubles, articles de ménage et entretien courant du foyer",الأثاث والأدوات المنزلية والصيانة العادية للمنزل,2021,101.4,casablanca,2017
Enseignement non défini par niveau,التعليم غير المحدد بالمستوى,2021,114.3,casablanca,2017
Indice général,الرقم الإستدلالي العام,2017,120.6,casablanca,2006
Services financiers,الخدمات المالية,2021,100.0,beni_mellal,2017
Effets personnels non classés ailleurs,أدوات شخصية غير مصنفة في مكان آخر,2020,101.0,agadir,2017
Produits alimentaires,المواد الغذائية,2018,101.8,marrakech,2017
"Meubles, articles de ménage et entretien courant du foyer",الأثاث والأدوات المنزلية والصيانة العادية للمنزل,2018,100.1,beni_mellal,2017
Chaussures,الأحذية,2017,103.9,fes,2006
Alimentation en eau et services divers liés au logement,التزويد بالماء وخدمات مختلفة متعلقة بالسكن,2021,100.0,marrakech,2017
"Logement, eau, électricité, gaz et autres combustibles",السكن والماء والكهرباء والغاز ومحروقات أخرى,2021,101.6,guelmim,2017
Services de transport,خدمات النقل,2019,100.0,guelmim,2017
Santé,الصحة,2020,100.4,fes,2017
Biens et services divers,مواد وخدمات اخرى,2018,102.8,fes,2017
Boissons non alcoolisées,المشروبات غير الكحولية,2018,100.4,errachidia,2017
Enseignement préélémentaire et primaire,التعليم ما قبل الإبتدائي والإبتدائي,2020,107.7,errachidia,2017
Effets personnels non classés ailleurs,أدوات شخصية غير مصنفة في مكان آخر,2019,107.0,dakhla,2017
Autres services,خدمات أخرى,2020,105.9,dakhla,2017
Produits alimentaires,المواد الغذائية,2019,99.9,beni_mellal,2017
