libelle_fr,libelle_ar,year,value,base_year
Produits des industries extractives,الصناعات الاستخراجية,2019,100.4,2010
Produits des industries extractives,الصناعات الاستخراجية,2018,100.2,2010
Produits des industries extractives,الصناعات الاستخراجية,2017,100.2,2010
Produits des industries extractives,الصناعات الاستخراجية,2016,100.2,2010
Hydrocarbures,استخراج النفط و الغاز الطبيعي,2019,115.1,2010
Hydrocarbures,استخراج النفط و الغاز الطبيعي,2018,115.1,2010
Hydrocarbures,استخراج النفط و الغاز الطبيعي,2017,115.1,2010
Hydrocarbures,استخراج النفط و الغاز الطبيعي,2016,115.1,2010
Minerais métalliques,استخراج خامات المعادن,2019,100.0,2010
Minerais métalliques,استخراج خامات المعادن,2018,100.0,2010
Minerais métalliques,استخراج خامات المعادن,2017,100.0,2010
Minerais métalliques,استخراج خامات المعادن,2016,100.0,2010
Autres produits des industries extractives,صناعات استخراجية اخرى,2019,100.3,2010
Autres produits des industries extractives,صناعات استخراجية اخرى,2018,100.2,2010
Autres produits des industries extractives,صناعات استخراجية اخرى,2017,100.1,2010
Autres produits des industries extractives,صناعات استخراجية اخرى,2016,100.1,2010
Produits des industries manufacturières hors raffinage de pétrole,الصناعات التحويلية باستثناء تكرير البترول,2019,110.3,2010
Produits des industries manufacturières hors raffinage de pétrole,الصناعات التحويلية باستثناء تكرير البترول,2018,109.8,2010
Produits des industries manufacturières hors raffinage de pétrole,الصناعات التحويلية باستثناء تكرير البترول,2017,107.0,2010
Produits des industries manufacturières hors raffinage de pétrole,الصناعات التحويلية باستثناء تكرير البترول,2016,106.3,2010
Produits des industries alimentaires,الصناعات الغذائية,2019,107.3,2010
Produits des industries alimentaires,الصناعات الغذائية,2018,107.9,2010
Produits des industries alimentaires,الصناعات الغذائية,2017,107.7,2010
Produits des industries alimentaires,الصناعات الغذائية,2016,107.4,2010
Boissons,صناعة المشروبات,2019,117.1,2010
Boissons,صناعة المشروبات,2018,116.9,2010
Boissons,صناعة المشروبات,2017,116.7,2010
Boissons,صناعة المشروبات,2016,116.6,2010
Produits à base de tabac,صناعة منتجات التبغ,2019,117.3,2010
Produits à base de tabac,صناعة منتجات التبغ,2018,117.0,2010
Produits à base de tabac,صناعة منتجات التبغ,2017,117.0,2010
Produits à base de tabac,صناعة منتجات التبغ,2016,117.0,2010
Produits de l'industrie de textile,صناعة النسيج,2019,101.1,2010
Produits de l'industrie de textile,صناعة النسيج,2018,100.9,2010
Produits de l'industrie de textile,صناعة النسيج,2017,99.1,2010
Produits de l'industrie de textile,صناعة النسيج,2016,100.3,2010
Articles d'habillement,صناعة الملابس,2019,109.9,2010
Articles d'habillement,صناعة الملابس,2018,107.7,2010
Articles d'habillement,صناعة الملابس,2017,106.9,2010
Articles d'habillement,صناعة الملابس,2016,106.9,2010
Cuir et articles en cuir et chaussures(à l'exclusion de l'habillement en cuir),صناعة الجلد والأحذية(باستثناء الملابس الجلدية),2019,112.0,2010
Cuir et articles en cuir et chaussures(à l'exclusion de l'habillement en cuir),صناعة الجلد والأحذية(باستثناء الملابس الجلدية),2018,112.0,2010
Cuir et articles en cuir et chaussures(à l'exclusion de l'habillement en cuir),صناعة الجلد والأحذية(باستثناء الملابس الجلدية),2017,111.0,2010
Cuir et articles en cuir et chaussures(à l'exclusion de l'habillement en cuir),صناعة الجلد والأحذية(باستثناء الملابس الجلدية),2016,108.1,2010
"Bois et articles en bois et en liège, à l’exception des meubles ;articles en vannerie et sparterie",نجارة الخشب وصنع منتجات من  الخشب والفلين عداالاثاث و صناعة منتجات من القصب و الحلفاء,2019,121.0,2010
"Bois et articles en bois et en liège, à l’exception des meubles ;articles en vannerie et sparterie",نجارة الخشب وصنع منتجات من  الخشب والفلين عداالاثاث و صناعة منتجات من القصب و الحلفاء,2018,116.2,2010
"Bois et articles en bois et en liège, à l’exception des meubles ;articles en vannerie et sparterie",نجارة الخشب وصنع منتجات من  الخشب والفلين عداالاثاث و صناعة منتجات من القصب و الحلفاء,2017,114.5,2010
"Bois et articles en bois et en liège, à l’exception des meubles ;articles en vannerie et sparterie",نجارة الخشب وصنع منتجات من  الخشب والفلين عداالاثاث و صناعة منتجات من القصب و الحلفاء,2016,114.9,2010
Papier et du carton,صنع الورق والورق المقوى,2019,103.4,2010
Papier et du carton,صنع الورق والورق المقوى,2018,98.9,2010
Papier et du carton,صنع الورق والورق المقوى,2017,98.1,2010
Papier et du carton,صنع الورق والورق المقوى,2016,97.9,2010
Travaux d'imprimerie et de reproduction,الطباعة ونسخ التسجيلات,2019,103.4,2010
Travaux d'imprimerie et de reproduction,الطباعة ونسخ التسجيلات,2018,103.5,2010
Travaux d'imprimerie et de reproduction,الطباعة ونسخ التسجيلات,2017,103.5,2010
Travaux d'imprimerie et de reproduction,الطباعة ونسخ التسجيلات,2016,103.5,2010
Produits chimiques,صناعة كيماوية,2019,131.5,2010
Produits chimiques,صناعة كيماوية,2018,127.1,2010
Produits chimiques,صناعة كيماوية,2017,113.4,2010
Produits chimiques,صناعة كيماوية,2016,111.1,2010
Produits pharmaceutiques de base et préparations pharmaceutiques,الصناعة الصيدلانية,2019,94.3,2010
Produits pharmaceutiques de base et préparations pharmaceutiques,الصناعة الصيدلانية,2018,94.4,2010
Produits pharmaceutiques de base et préparations pharmaceutiques,الصناعة الصيدلانية,2017,94.6,2010
Produits pharmaceutiques de base et préparations pharmaceutiques,الصناعة الصيدلانية,2016,94.8,2010
Produits en caoutchouc et en plastique,صنع منتجات من المطاط والبلاستيك,2019,112.5,2010
Produits en caoutchouc et en plastique,صنع منتجات من المطاط والبلاستيك,2018,113.1,2010
Produits en caoutchouc et en plastique,صنع منتجات من المطاط والبلاستيك,2017,113.7,2010
Produits en caoutchouc et en plastique,صنع منتجات من المطاط والبلاستيك,2016,114.3,2010
Autres produits minéraux non métalliques,صنع منتجات أخرى غير معدنية,2019,110.0,2010
Autres produits minéraux non métalliques,صنع منتجات أخرى غير معدنية,2018,110.2,2010
Autres produits minéraux non métalliques,صنع منتجات أخرى غير معدنية,2017,107.4,2010
Autres produits minéraux non métalliques,صنع منتجات أخرى غير معدنية,2016,106.7,2010
Produits métallurgies,التعدين,2019,99.2,2010
Produits métallurgies,التعدين,2018,101.9,2010
Produits métallurgies,التعدين,2017,102.1,2010
Produits métallurgies,التعدين,2016,101.7,2010
"Produits métalliques, à l’exclusion des machines et équipements",صناعة منتجات معدنية باستثناء الآلات والمعدات,2019,101.7,2010
"Produits métalliques, à l’exclusion des machines et équipements",صناعة منتجات معدنية باستثناء الآلات والمعدات,2018,102.3,2010
"Produits métalliques, à l’exclusion des machines et équipements",صناعة منتجات معدنية باستثناء الآلات والمعدات,2017,101.0,2010
"Produits métalliques, à l’exclusion des machines et équipements",صناعة منتجات معدنية باستثناء الآلات والمعدات,2016,98.6,2010
"Produits informatiques, électroniques et optiques",صنع تجهيزات معلوماتية و منتجات الكترونية و بصرية,2019,100.3,2010
"Produits informatiques, électroniques et optiques",صنع تجهيزات معلوماتية و منتجات الكترونية و بصرية,2018,100.1,2010
"Produits informatiques, électroniques et optiques",صنع تجهيزات معلوماتية و منتجات الكترونية و بصرية,2017,101.2,2010
"Produits informatiques, électroniques et optiques",صنع تجهيزات معلوماتية و منتجات الكترونية و بصرية,2016,101.0,2010
Equipements électriques,صنع الأجهزة الكهربائية,2019,110.4,2010
Equipements électriques,صنع الأجهزة الكهربائية,2018,111.3,2010
Equipements électriques,صنع الأجهزة الكهربائية,2017,104.8,2010
Equipements électriques,صنع الأجهزة الكهربائية,2016,101.8,2010
Machines et équipements n.c.a.,صنع الآلات وتجهيزات غير المصنفة في موضع اخر,2019,103.0,2010
Machines et équipements n.c.a.,صنع الآلات وتجهيزات غير المصنفة في موضع اخر,2018,103.1,2010
Machines et équipements n.c.a.,صنع الآلات وتجهيزات غير المصنفة في موضع اخر,2017,103.1,2010
"véhicules automobiles, remorques et semi-remorques",صناعة السيارات,2019,99.4,2010
"véhicules automobiles, remorques et semi-remorques",صناعة السيارات,2018,99.2,2010
"véhicules automobiles, remorques et semi-remorques",صناعة السيارات,2017,99.0,2010
"véhicules automobiles, remorques et semi-remorques",صناعة السيارات,2016,99.7,2010
Autres matériels de transport,صنع وسائل النقل الأخرى,2019,100.4,2010
Autres matériels de transport,صنع وسائل النقل الأخرى,2018,100.4,2010
Autres matériels de transport,صنع وسائل النقل الأخرى,2017,100.4,2010
Autres matériels de transport,صنع وسائل النقل الأخرى,2016,100.4,2010
Meubles,صنع الأثاث,2019,111.1,2010
Meubles,صنع الأثاث,2018,110.7,2010
Meubles,صنع الأثاث,2017,108.0,2010
Meubles,صنع الأثاث,2016,105.4,2010
Autres industries manufacturés,صناعات تحويلية أخرى,2019,102.7,2010
Autres industries manufacturés,صناعات تحويلية أخرى,2018,102.1,2010
Autres industries manufacturés,صناعات تحويلية أخرى,2017,102.6,2010
Autres industries manufacturés,صناعات تحويلية أخرى,2016,101.9,2010
Production et distribution d'électricité,انتاج و توزيع الكهرباء,2019,115.3,2010
Production et distribution d'électricité,انتاج و توزيع الكهرباء,2018,115.3,2010
Production et distribution d'électricité,انتاج و توزيع الكهرباء,2017,115.3,2010
Production et distribution d'électricité,انتاج و توزيع الكهرباء,2016,111.0,2010
Production et distribution d'eau,انتاج وتوزيع الماء,2019,119.0,2010
Production et distribution d'eau,انتاج وتوزيع الماء,2018,119.0,2010
Production et distribution d'eau,انتاج وتوزيع الماء,2017,119.0,2010
