age_group_fr,gender_fr,ensemble,rural,urbain,age_group_ar,gender_ar,year
0 - 4 ans,Masculin,1567656,649042,918614,0 - 4 سنوات,ذكور,2018
0 - 4 ans,Féminin,1500943,620677,880266,0 - 4 سنوات,إناث,2018
5 - 9 ans,Masculin,1688195,728507,959688,5 - 9 سنوات,ذكور,2018
5 - 9 ans,Féminin,1614138,695810,918328,5 - 9 سنوات,إناث,2018
10 - 14 ans,Masculin,1536104,666399,869705,10 - 14 سنة,ذكور,2018
10 - 14 ans,Féminin,1475188,638344,836844,10 - 14 سنة,إناث,2018
15 - 19 ans,Masculin,1542834,661699,881135,15 - 19 سنة,ذكور,2018
15 - 19 ans,Féminin,1485186,625276,859910,15 - 19 سنة,إناث,2018
20 - 24 ans,Masculin,1487061,587973,899088,20 - 24 سنة,ذكور,2018
20 - 24 ans,Féminin,1487418,556261,931157,20 - 24 سنة,إناث,2018
25 - 29 ans,Masculin,1475780,538793,936987,25 - 29 سنة,ذكور,2018
25 - 29 ans,Féminin,1511561,502055,1009506,25 - 29 سنة,إناث,2018
30 - 34 ans,Masculin,1339915,476625,863290,30 - 34 سنة,ذكور,2018
30 - 34 ans,Féminin,1391444,462653,928791,30 - 34 سنة,إناث,2018
35 - 39 ans,Masculin,1248599,440488,808111,35 - 39 سنة,ذكور,2018
35 - 39 ans,Féminin,1308689,435677,873012,35 - 39 سنة,إناث,2018
40 - 44 ans,Masculin,1112372,396039,716333,40 - 44 سنة,ذكور,2018
40 - 44 ans,Féminin,1182128,387619,794509,40 - 44 سنة,إناث,2018
45 - 49 ans,Masculin,1011501,343653,667848,45 - 49 سنة,ذكور,2018
45 - 49 ans,Féminin,1060566,339499,721067,45 - 49 سنة,إناث,2018
50 - 54 ans,Masculin,870585,287628,582957,50 - 54 سنة,ذكور,2018
50 - 54 ans,Féminin,920350,290107,630243,50 - 54 سنة,إناث,2018
55 - 59 ans,Masculin,844350,277057,567293,55 - 59 سنة,ذكور,2018
55 - 59 ans,Féminin,862516,285550,576966,55 - 59 سنة,إناث,2018
60 - 64 ans,Masculin,658918,218520,440398,60 - 64 سنة,ذكور,2018
